id,leadId,activityDate,activityTypeId,primaryAttributeValueId,primaryAttributeValue,ClientIPAddress,QueryParameters,ReferrerURL,UserAgent,WebpageURL,campaignId,campaignId_UserAgent,campaignId_WebpageURL
46542688,39928,2017-01-26T00:24:18Z,1,28838,www.sysadmingroup.jp/sysadday10.html,203.179.24.126,,http://www.sysadmingroup.jp/sysadmingroup.html?mkt_tok=eyJpIjoiWXpOak4yTTRPR1U0WWpNeiIsInQiOiIxNTRBQU56b2xvTUtkY2JNelNXSnRGa2xUVCs1TE1KemxyTWM1Y1lJdFk2OHBUTzBTRlRyKzZZVmtRRGlLUlIyZ2JPVFduQ2lRZ3lmSEZRbUZNaTl6RDlhWFJneFZuNXVwMmxlTTNUQm9VVmlWRGJzZGFuTVRuRDRmcXV4UFYzeCJ9,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/sysadday10.html,9663,,
46542693,29228,2017-01-26T00:24:22Z,1,29207,www.unirita.co.jp/about-users.html,210.172.143.2,mkt_tok=eyJpIjoiTmpjeU9HVXhaVFU0WkRBeSIsInQiOiJrcWVYQnhLdjUrMmszUEIzWVVtbDR2dGh6U1hGa3d1c0NEdWsyMEd3VWh3ZEROMkVwQjVmczZBQklWbTYxSXQ4aWFVVFBaaGROdmlcL0J5VmJUMzg2NHZ5bVVQU2hxRlI4OXFNNVZGMnp1WnAxZm16aFBFUm5Td1R4Qjl2bUtyQ1QifQ==,http://go.unirita.co.jp/uqy000BN0L030b03Fq7MQa0,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/about-users.html,9663,,
46542695,1617441,2017-01-26T00:24:28Z,1,28319,www.uniritauser.jp/34symposium/index.html,118.238.253.139,mkt_tok=eyJpIjoiTXpRM1ptSm1OR1ZoWmpSayIsInQiOiJlNjVaZE8zY2J5ZlwvbGsrV2hMS1hxUEpxY1dtOENkaW5kXC9UOTJSK2l3eFZhcjFBXC9JemxqZzArVVY5MnVoZEs3cENCeWg0SGZ5ZDRcL3pKU3N1b0VaQ0QzNjVhUXMzYXhicldcL1FLb2NxRFJXVXJ0ZndnSzROOTlUcUZzOUVrejJ1In0=,http://go.unirita.co.jp/jMsN0a3LM006L0LyQ3r0F00,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/34symposium/index.html,9663,,
46542699,1007909,2017-01-26T00:24:34Z,1,28528,www.sysadmingroup.jp/kyoryoku.html,61.202.229.244,,http://www.sysadmingroup.jp/suishin.html,"Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko",/kyoryoku.html,,,
46542701,49678,2017-01-26T00:24:35Z,1,139,www.unirita.co.jp/corporate/philosophy.html,150.63.64.10,,http://www.unirita.co.jp/corporate/profile.html,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/corporate/philosophy.html,,,
46542706,57759,2017-01-26T00:24:43Z,1,28327,www.sysadmingroup.jp/seminar/nintei/success.html,182.248.221.25,,http://www.sysadmingroup.jp/seminar/nintei/introduction.html?mkt_tok=eyJpIjoiTVdVeFl6TXhPRGxoTURsaiIsInQiOiJZaThLYks3TVpQQ21JcjR0Z3ViZFVBbVlCbmtaWjJ1cllGKzY5YXI4dm02bDdxdzhVTjdDYVUxUWtYZDZxcjQrUUk1K0JsNlwvVytZSmRvYUNNUzhETlBjM2NTTUZuc0d3MDZZTTRUXC9iNzZndUhlZStZUjRGdmN3cDIwN3hFVUdVIn0=,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/seminar/nintei/success.html,9663,,
46542707,14484,2017-01-26T00:24:44Z,1,6,www.unirita.co.jp/corporate/profile.html,202.232.205.238,,http://www.unirita.co.jp/corporate/history.html,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/corporate/profile.html,,,
46542708,52139,2017-01-26T00:24:46Z,1,1,UnsubscribePage,153.214.113.180,mkt_tok=eyJpIjoiTmpNd05EY3lZakU1TTJVeiIsInQiOiJkdEtmK2trUWE4UElad29RVk1vbVE1V1V1OVM4OUJuUEg1YlFLSkZoR1Z0blkzWVBMaWFNbjJ4RnVBUFJuUTJjMHhEVTNsRFwvMlBRT0UwQk9jNFwvaHNYb0lGaURQWFwvYnNiQnRqNlA1WVVxdkE4ZjZKdGFuYUhvVU1IdEZHNE1qQSJ9,http://go.unirita.co.jp/m000y23000d3aLXyNFH0MQ0,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/UnsubscribePage.html,9663,,
46542899,52139,2017-01-26T00:25:12Z,1,2,UnsubscribeConfirm,153.214.113.180,aliId=2069004,,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/UnsubscribeConfirm.html,,,
46543003,38649,2017-01-26T00:25:21Z,1,8,www.unirita.co.jp/,118.151.184.156,mkt_tok=eyJpIjoiTW1RMk1qSTVNRFprTlRRMyIsInQiOiJCZUg4akt2Ym1KMG00bHUzWHlLYXNjTUdvN0N3SVA0WFYxU1hnUHcxU3FBXC9vb3QxMVNZbkJwQTBaZVZyTlRwajRMN0RMbnBjYVNUSFNQekhXYUMxRDIzUE9nZkNQSDhoNVoraEZWK3J2S0RQdFpVNjNPeVlOSXVweE9MOG9mNUQifQ==,http://go.unirita.co.jp/kM0VL0y00Fn03N3a3a0I00Q,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/,9663,,
46543030,38649,2017-01-26T00:25:25Z,1,15,www.unirita.co.jp/corporate/,118.151.184.156,,http://www.unirita.co.jp/?mkt_tok=eyJpIjoiTW1RMk1qSTVNRFprTlRRMyIsInQiOiJCZUg4akt2Ym1KMG00bHUzWHlLYXNjTUdvN0N3SVA0WFYxU1hnUHcxU3FBXC9vb3QxMVNZbkJwQTBaZVZyTlRwajRMN0RMbnBjYVNUSFNQekhXYUMxRDIzUE9nZkNQSDhoNVoraEZWK3J2S0RQdFpVNjNPeVlOSXVweE9MOG9mNUQifQ==,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/corporate/,9663,,
46543037,38649,2017-01-26T00:25:28Z,1,7,www.unirita.co.jp/corporate/history.html,118.151.184.156,,http://www.unirita.co.jp/corporate/,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/corporate/history.html,,,
46543212,1019396,2017-01-26T00:25:47Z,1,8,www.unirita.co.jp/,210.143.35.11,mkt_tok=eyJpIjoiT0dSa01EQTNZVEZrT1dWayIsInQiOiJ6WWJTUEY0SHRWR3dcL2pHWWRuQWZIcjU1d1BuZTJnQ0pVcE1YQmhjUHZoSUJROEtJekhrYnlKVXFlMmwzMlhHME51c0h2MHZ3NitBZDFUSnoyQVVZa3gxOWxiWFdNUEl1bWpPUStCQ3RMUldEcjJDc25vUlJUQ01xT2JLUFBoTkwifQ==,http://go.unirita.co.jp/My0Q0e0JMF4a300VL0zN0I3,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/,9663,,
