id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Step ID
46121061,1550113,2017-01-23T02:30:13Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121062,1023025,2017-01-23T02:30:22Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121063,43348,2017-01-23T02:30:23Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121064,51672,2017-01-23T02:30:13Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121065,58138,2017-01-23T02:30:13Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121095,1015069,2017-01-23T02:30:08Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121096,1023387,2017-01-23T02:30:08Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121097,22443,2017-01-23T02:30:10Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121098,1014,2017-01-23T02:30:10Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121099,1022185,2017-01-23T02:30:10Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121100,49530,2017-01-23T02:30:13Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121123,8049,2017-01-23T02:30:11Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121124,23314,2017-01-23T02:30:14Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121125,29682,2017-01-23T02:30:09Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121126,53245,2017-01-23T02:30:09Z,7,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0
46121127,44282,2017-01-23T02:30:11Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121128,1671731,2017-01-23T02:30:15Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121129,38400,2017-01-23T02:30:19Z,7,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0
46121879,1012797,2017-01-23T02:35:11Z,7,8721,11851,クラウド化再構築_エンゲージメント★.2-2.認知興味関心,26149,0
46122887,22040,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122888,39407,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122889,1017469,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122890,4192,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122891,2023848,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122892,38860,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122893,10432,2017-01-23T02:40:09Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122894,51191,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122895,18931,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122896,51300,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122897,22121,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122898,19752,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122899,1013146,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122900,2035728,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122901,25503,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122902,21750,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122903,1649142,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122904,1556896,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122905,57934,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122906,23766,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122907,1716331,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122908,36621,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122909,1671945,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122910,6710,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122911,37195,2017-01-23T02:40:10Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122912,1562782,2017-01-23T02:40:11Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122913,1980398,2017-01-23T02:40:11Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122914,1925113,2017-01-23T02:40:12Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122915,14477,2017-01-23T02:40:12Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122916,18905,2017-01-23T02:40:13Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122917,1006046,2017-01-23T02:40:16Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122918,12691,2017-01-23T02:40:22Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
